Issue Date;Title;Author(s);;
2020;Pertumbuhan dan Kualitas Kayu 12 Provenansi Jabon (Neolamarckia cadamba (Roxb.) Bosser) pada Uji Provenansi-Keturunan di Parungpanjang, Bogor.;"Siregar, Iskandar Z.; Supriyanto; Karlinasari, Lina; Anna, Nelly";;
2020;Inisiatif Baru Membangun Usaha Pembiakan Sapi Bali Berbasis Komunitas di Stasiun Lapang Sekolah Peternakan Rakyat (SL-SPR);"Muladno, Muladno; Said, Syahruddin; Sari, Dinda Ayu Permata";;
2020;Kaji Ulang Drainase Perkotaan di Bojong Kulur Kabupaten Bogor;"Prastowo; Kurniawan, Muhammad Aldi";;
2020;Strategi Pengembangan Sumberdaya Wisata Memancing dengan Pendekatan Valuasi Ekonomi di Perairan Tanjung Kait, Tangerang, Banten;"Fahrudin, Achmad; Susanto, Handoko Adi; Setyawan, Titan Budi";;
2020;Dampak Pola Sistem Bagi Hasil terhadap Pendapatan Nelayan di Pantai Tiku Kabupaten Agam Sumatera Barat;"Solihin, Akhmad; Wisudo, Sugeng Hari; Oktavia, Yori";;
2020;Kinerja Produksi Ikan Semah (Tor soro) dengan Padat Tebar Berbeda pada Pendederan yang Menggunakan Sistem Resirkulasi;"Shafruddin, Dadang; Budiardi, Tatag; Rudiartana, I Made";;
2020;Analisis Struktur Anatomi, Struktur Sekretori, dan Uji Histokimia Tanaman Pegagan (Centella asiatica L. Urban);"Sulistyaningsih, Yohana Caecilia; Dorly; Sumiati, Cucu";;
2020;Perbandingan Hasil Tangkapan Ikan Teri (Stolephorus sp) Menggunakan Bagan dengan Atraktor dan tanpa Atraktor di Perairan Pangandaran.;"Martasuganda, Sulaeman; Purwangka, Fis; Hartini, Resti Sri";;
2020;Efektivitas Pengelolaan Dana Koperasi Unit Desa Sri Mina Sari di Tempat Pelelangan Ikan Glayem Kabupaten Indramayu;"Wisudo, Sugeng Hari; Solihin, Akhmad; Veryani, Novia";;
2020;Distribusi Muatan Kapal Trammel Net di Pelabuhan Perikanan Samudera Cilacap, Jawa Tengah;"Iskandar, Budhi Hascaryo; Simbolon, Domu; Istiqomah, Siti";;
