issued_date,title,authors,tanggal_valid,subject,cluster
,Jumlah Mikroorganisme pada Ayam Geprek di Sekitar Kampus Institut Pertanian Bogor Dramaga,"['Lukman, Denny W', ' Indrawati, Agustin', ' Putri, Shila Rahmafia']",False,"['bogor', 'institut', 'pertanian', 'institut pertanian', 'pertanian bogor', 'institut pertanian bogor', 'ayam', 'kampus', 'dramaga']",36
,Kasus Trichinellosis di Balai Besar Uji Standar Karantina Pertanian (BBUSKP).,"['Ridwan, Yusuf', ' Haeriah', ' Waskito, Rifky Wisnuardi']",False,"['pertanian', 'uji']",19
,Deteksi Residu Antibiotik dalam Minuman Susu Aneka Rasa Menggunakan Metode Yogurt Test,"['Pisestyani, Herwin', ' Tiuria, Risa', ' Azzahro, Saidah Fatimah']",False,"['susu', 'metode', 'minuman', 'deteksi', 'antibiotik']",19
,Frekuensi Penggunaan Obat Anti Ektoparasit Pada Kucing di Klinik Hewan Starvet Bogor Tahun 2017 dan 2018,"['Prasetyo, Bayu Febram', ' Soehartono, R Harry', ' Hanifa, Rahmalia Dini']",False,"['bogor', 'penggunaan', 'anti', 'kucing', 'hewan', '2018']",19
,Pola Citra Infrared Thermal Camera Suhu Permukaan Kuda,"['Santoso, Koekoeh', ' Ulum, Mokhamad Fakhrul', ' Hendika, Rivangga Yuda']",False,"['citra', 'pola', 'suhu']",56
,Mungbean yellow mosaic India virus: Identifikasi dan Kajian Pustaka.,"['Hendrastuti Hidayat, Sri', ' Astisiwi, Nahla Hening']",False,"['kajian', 'identifikasi', 'virus']",34
,Analisis Tinggi Muka Air Tanah Lahan Gambut pada Berbagai Tipe Penggunaan Lahan di Provinsi Riau dan Jambi,"['Tarigan, Suria Darma', ' Murtilaksono, Kukuh', ' Sari, Nila Kumala']",False,"['analisis', 'penggunaan', 'tipe', 'air', 'lahan', 'provinsi', 'penggunaan lahan', 'tanah', 'gambut', 'riau', 'jambi']",40
,Uji Sensitivitas Antibiotika Pada Isolat Lapang Streptococcus agalactiae,"['Wibawan, I Wayan Teguh', ' Tumbelaka, Ligaya ITA', ' Krisnan, Dinesh Radza']",False,"['isolat', 'uji']",75
,Keragaan Galur-galur F2.5 Gandum (Triticum aestivum L) di Dataran Menengah,"['Wahyu, Yudiwanti', ' Trikoesoemaningtyas', ' Najatin, Isna']",False,"['menengah', 'galur']",112
,Komunikasi Lingkungan dan konformitas kelompok dalam Pengelolaan Hutan Bersama Masyarakat,"['Sarwoprasodjo, Sarwititi', ' Mardiana, Rina', ' Rosmanita, Ike']",False,"['pengelolaan', 'masyarakat', 'kelompok', 'lingkungan', 'komunikasi', 'hutan']",19
,Pengaruh Kolektivisme dan Perceived Consumer Effectiveness Terhadap Perilaku Food waste dengan Teori Reasoned Action Approach,"['Yuliati, Lilik Noor', ' Sugiarti, Catalina Rubita']",False,"['perilaku', 'pengaruh', 'food']",103
,Kualitas Konsumsi Pangan dan Perilaku Positive Deviance serta Pengaruhnya terhadap Stunting pada Balita di Bandung Barat,"['Anwar, Faisal', ' Khomsan, Ali', ' Firdaus, Desiana']",False,"['perilaku', 'barat', 'pangan', 'konsumsi', 'bandung', 'kualitas', 'pengaruhnya', 'stunting', 'balita']",19
,"Estimasi Nilai Kehilangan dan Upaya Mengurangi Potensi Sampah Makan Dari Sisi Produsen (Studi Kasus: Rumah makan di Kecamatan Dramaga, Kabupaten Bogor).","['Ekayani, Meti', ' Nuva', ' Fachrunnisa, Indria']",False,"['estimasi', 'nilai', 'estimasi nilai', 'bogor', 'potensi', 'studi', 'kabupaten', 'kabupaten bogor', 'sampah', 'makan', 'rumah', 'kecamatan', 'dramaga']",73
,Karakterisasi Toksigenisitas Aspergillus flavus Asal Komoditas Pertanian di Indonesia,"['Rahayu, Winiati P', ' Nurjanah, Siti', ' Anidah']",False,"['pertanian', 'indonesia', 'karakterisasi']",19
